W,I
1342.293961274371,21.6
1342.7656540350247,28.3
1343.23727645798,20.1
1343.7088285493649,23.4
1344.18031031529,25.9
1344.6517217618787,19.5
1345.123062895259,23.9
1345.5943337215415,19.0
1346.0655342468522,19.8
1346.5366644773142,14.5
1347.0077244190468,26.8
1347.4787140781739,16.6
1347.9496334608123,22.8
1348.4204825730965,24.9
1348.891261421137,18.2
1349.3619700110619,23.6
1349.8326083489924,17.1
1350.3031764410564,27.6
1350.7736742933776,24.2
1351.2441019120731,24.8
1351.7144593032685,27.7
1352.1847464730984,22.6
1352.6549634276776,23.3
1353.1251101731339,20.4
1353.5951867155952,17.4
1354.065193061181,26.7
1354.5351292160233,21.4
1355.0049951862459,23.0
1355.4747909779699,26.2
1355.9445165973343,22.8
1356.4141720504583,21.5
1356.8837573434612,27.5
1357.3532724824813,25.1
1357.8227174736471,26.3
1358.292092323082,23.7
1358.7613970369136,23.0
1359.2306316212703,21.9
1359.6997960822798,20.8
1360.168890426074,25.0
1360.6379146587792,27.2
1361.1068687865275,24.9
1361.5757528154443,26.5
1362.0445667516624,20.2
1362.5133106013157,21.1
1362.9819843705257,20.5
1363.4505880654315,28.3
1363.9191216921563,24.4
1364.3875852568367,19.9
1364.8559787655988,23.7
1365.3243022245833,21.9
1365.7925556399114,18.7
1366.2607390177157,20.0
1366.7288523641391,22.4
1367.196895685303,23.0
1367.6648689873507,20.6
1368.132772276403,18.5
1368.6006055585974,23.1
1369.068368840074,20.6
1369.5360621269613,26.2
1370.0036854253933,20.1
1370.4712387415047,18.9
1370.9387220814253,20.3
1371.4061354513008,22.7
1371.8734788572565,21.6
1372.3407523054311,19.1
1372.8079558019551,15.2
1373.2750893529778,15.9
1373.7421529646208,19.4
1374.209146643025,17.0
1374.6760703943266,21.9
1375.142924224667,17.0
1375.6097081401783,20.0
1376.076422146997,23.2
1376.543066251262,18.3
1377.0096404591095,16.9
1377.476144776679,14.2
1377.9425792101106,19.5
1378.4089437655412,17.9
1378.8752384491077,15.8
1379.3414632669483,14.5
1379.8076182252,19.3
1380.2737033300123,15.6
1380.739718587513,16.6
1381.2056640038518,21.4
1381.6715395851631,18.4
1382.1373453375857,22.1
1382.6030812672602,19.8
1383.068747380339,17.8
1383.534343682945,18.1
1383.9998701812303,14.0
1384.4653268813338,14.7
1384.930713789396,19.8
1385.3960309115603,18.2
1385.861278253972,16.4
1386.3264558227718,18.7
1386.7915636240984,17.1
1387.2566016640994,18.2
1387.7215699489095,13.8
1388.1864684846864,18.1
1388.6512972775604,11.0
1389.1160563336857,20.8
1389.5807456591986,12.4
1390.0453652602444,16.6
1390.509915142968,15.1
1390.9743953135242,13.6
1391.4388057780445,12.7
1391.903146542681,14.8
1392.3674176135746,17.6
1392.8316189968748,14.0
1393.2957506987248,12.4
1393.759812725276,15.6
1394.223805082672,10.7
1394.6877277770577,15.5
1395.1515808145787,16.0
1395.6153642013842,11.0
1396.0790779436284,10.8
1396.5427220474476,16.8
1397.0062965189961,16.6
1397.4698013644233,16.7
1397.9332365898724,14.6
1398.3966022014927,12.9
1398.8598982054364,9.4
1399.3231246078528,14.0
1399.786281414885,13.4
1400.249368632689,12.0
1400.7123862674148,16.5
1401.1753343252074,9.5
1401.6382128122186,16.1
1402.101021734598,18.3
1402.5637610985036,16.7
1403.0264309100767,17.8
1403.4890311754689,13.9
1403.9515619008384,13.4
1404.4140230923329,15.0
1404.876414756108,14.1
1405.3387368983097,10.8
1405.8009895250912,9.6
1406.2631726426048,10.3
1406.7252862570083,14.4
1407.1873303744517,11.8
1407.6493050010909,13.5
1408.1112101430688,14.3
1408.573045806555,13.3
1409.03481199769,8.4
1409.4965087226344,15.8
1409.9581359875401,11.0
